"ticker","word","n","tf","idf","tf_idf"
"11B","studios",83,0.0104245164531525,1.30494872166594,0.0136034594195269
"11B","bit",80,0.0100477267018337,1.18716568600955,0.0119283163628189
"11B","gra",158,0.0198442602361216,0.522189382416306,0.0103624619972088
"11B","alters",19,0.00238633509168551,2.97892515523761,0.0071087136334482
"11B","frostpunk",21,0.00263752825923135,2.69124308278583,0.00709822968330852
"11B","marszać",13,0.00163275558904798,4.07753744390572,0.00665762205108947
"11B","wydawniczy",26,0.00326551117809596,1.77495235091167,0.00579612674248977
"11B","premier",73,0.00916855061542326,0.611801541105993,0.00560933339622425
"11B","playway",24,0.00301431801055011,1.67964217110735,0.00506297564764838
"11B","popławski",15,0.00188394875659382,2.46809953147162,0.00464977304346575
"11B","frostpunka",18,0.00226073850791258,1.99809590222588,0.00451717234866439
"11B","grać",31,0.00389349409696056,0.819440905884237,0.00319048832986829
"11B","premiera",15,0.00188394875659382,1.67964217110735,0.00316435977978024
"11B","konsola",20,0.00251193167545843,1.18716568600955,0.00298207909070473
"11B","games",30,0.00376789751318764,0.78170057790139,0.00294536766353199
"11B","cyberpunk",12,0.00150715900527506,1.8803128665695,0.00283393046958478
"11B","techland",8,0.00100477267018337,2.69124308278583,0.00270408749840324
"11B","rodak",11,0.00138156242150214,1.8803128665695,0.00259776959711938
"11B","bitstudios",5,0.000627982918864607,4.07753744390572,0.00256062386580364
"11B","flipper",9,0.00113036925395629,2.13162729485041,0.00240952595499292
"11B","gaming",14,0.0017583521728209,1.2443240998495,0.00218795998466378
"11B","bess",8,0.00100477267018337,2.13162729485041,0.0021418008488826
"11B","tytuł",53,0.00665661893996483,0.316337328212157,0.00210573705039492
"11B","moonlighter",4,0.000502386335091685,4.07753744390572,0.00204849909264291
"11B","gam",7,0.00087917608641045,2.28577797467766,0.00200960133418031
"11B","emila",9,0.00113036925395629,1.77495235091167,0.002006351564708
"11B","studio",9,0.00113036925395629,1.67964217110735,0.00189861586786814
"11B","gta",7,0.00087917608641045,2.13162729485041,0.00187407574277227
"11B","konsolowy",7,0.00087917608641045,2.13162729485041,0.00187407574277227
"11B","gamingowy",8,0.00100477267018337,1.77495235091167,0.00178342361307377
"11B","squary",14,0.0017583521728209,0.986494990547404,0.00173460561010596
"11B","pass",6,0.000753579502637528,2.28577797467766,0.00172251542929741
"11B","okno",7,0.00087917608641045,1.8803128665695,0.00165312610725779
"11B","cyberpunka",10,0.00125596583772921,1.30494872166594,0.00163897101440083
"11B","multiplayer",6,0.000753579502637528,2.13162729485041,0.00160635063666195
"11B","thy",12,0.00150715900527506,1.0330150061823,0.00155691786915192
"11B","miechowski",3,0.000376789751318764,4.07753744390572,0.00153637431948219
"11B","termination",3,0.000376789751318764,4.07753744390572,0.00153637431948219
"11B","fabularny",4,0.000502386335091685,2.97892515523761,0.00149657129125225
"11B","książka",10,0.00125596583772921,1.13309846473928,0.00142313296249595
"11B","housy",6,0.000753579502637528,1.8803128665695,0.00141696523479239
"11B","serial",6,0.000753579502637528,1.8803128665695,0.00141696523479239
"11B","bloobro",4,0.000502386335091685,2.69124308278583,0.00135204374920162
"11B","szd",4,0.000502386335091685,2.69124308278583,0.00135204374920162
"11B","tencent",4,0.000502386335091685,2.69124308278583,0.00135204374920162
"11B","float",5,0.000627982918864607,2.13162729485041,0.00133862553055162
"11B","zarzad",8,0.00100477267018337,1.30494872166594,0.00131117681152066
"11B","dodatek",14,0.0017583521728209,0.745332933730516,0.00131055778350003
"11B","audit",3,0.000376789751318764,3.38439026334577,0.0012752035656917
"11B","section",3,0.000376789751318764,3.38439026334577,0.0012752035656917
"11B","wara",5,0.000627982918864607,1.99809590222588,0.00125477009685122
