"article_id","topic","gamma"
"000bd2739ebc45aa199fd9c1fac22da6",1,0.000470531501494906
"000bd2739ebc45aa199fd9c1fac22da6",2,0.637005197918937
"000bd2739ebc45aa199fd9c1fac22da6",3,0.000470497287665792
"000bd2739ebc45aa199fd9c1fac22da6",4,0.361583287321227
"000bd2739ebc45aa199fd9c1fac22da6",5,0.00047048597067486
"00160ad0aa8b41bc5544acf7a011f8c2",1,0.109025085486346
"00160ad0aa8b41bc5544acf7a011f8c2",2,0.539528533489181
"00160ad0aa8b41bc5544acf7a011f8c2",3,0.000410575465602019
"00160ad0aa8b41bc5544acf7a011f8c2",4,0.350625173444558
"00160ad0aa8b41bc5544acf7a011f8c2",5,0.000410632114312796
"001bf8f68446287e0ee1cb4e508bd1ba",1,0.000583019981120632
"001bf8f68446287e0ee1cb4e508bd1ba",2,0.811946098117345
"001bf8f68446287e0ee1cb4e508bd1ba",3,0.000582969518001452
"001bf8f68446287e0ee1cb4e508bd1ba",4,0.186304847184145
"001bf8f68446287e0ee1cb4e508bd1ba",5,0.000583065199387878
"0027c408c3b2cf92f17738690a2dd8ab",1,0.250212480169752
"0027c408c3b2cf92f17738690a2dd8ab",2,0.000865548838554735
"0027c408c3b2cf92f17738690a2dd8ab",3,0.0212840994054438
"0027c408c3b2cf92f17738690a2dd8ab",4,0.726772130745793
"0027c408c3b2cf92f17738690a2dd8ab",5,0.000865740840456431
"002a89d9b592b050af88c2e46560a18d",1,0.713823347657021
"002a89d9b592b050af88c2e46560a18d",2,0.000544807619979094
"002a89d9b592b050af88c2e46560a18d",3,0.000544858882024836
"002a89d9b592b050af88c2e46560a18d",4,0.000544851440010833
"002a89d9b592b050af88c2e46560a18d",5,0.284542134400964
"002f84850a922ef2839f57f778479eaa",1,0.728990687137735
"002f84850a922ef2839f57f778479eaa",2,0.197056884381415
"002f84850a922ef2839f57f778479eaa",3,0.000389770732793539
"002f84850a922ef2839f57f778479eaa",4,0.000389761739300384
"002f84850a922ef2839f57f778479eaa",5,0.0731728960087561
"004e0185cfda2af443300e907e142f50",1,0.527991018260093
"004e0185cfda2af443300e907e142f50",2,0.000519374007349233
